classification,run_directory,environment_id,source_commit,workers,offered_concurrency,n,median_burst_wall_ms,p95_burst_wall_ms,p99_burst_wall_ms,median_accepted_verifications,median_saturated_verifications,median_verification_ops_per_second,p95_verification_ops_per_second,saturation_fraction,unexpected_error_fraction,throughput_tps,notes
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,16,100,2.3432085000000002,3.3186672999999995,4.6432412500001305,16.0,0.0,6828.28362031116,9009.011323610343,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,64,100,15.954541500000001,17.342214600000002,17.57707458,64.0,0.0,4011.397091484832,4522.907428898271,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,65,100,16.241916500000002,17.0786295,17.309669579999998,65.0,0.0,4001.9927814003904,4140.120967480474,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,128,100,17.534292,18.86993125,21.08578508000018,66.0,62.0,3747.8040928826476,3892.9876012463496,0.487578125,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,1,100,0.171521,0.3088193999999999,0.37951167,1.0,0.0,5830.192032742496,6508.197540942703,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,2,100,0.2017295,0.33213299999999985,0.43597117,2.0,0.0,9914.274946413247,10972.415458951844,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,4,100,0.291458,0.3668878,0.4674017500000003,4.0,0.0,13724.11810584987,15816.902876598122,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,8,100,0.7549794999999999,0.9126502999999999,0.94544199,8.0,0.0,10596.321950554786,13617.40740763556,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,16,100,2.535021,3.5954285,3.8759216700000034,16.0,0.0,6311.665467918837,8765.934367511256,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,64,100,16.534958500000002,17.841776799999998,18.21715783,64.0,0.0,3870.5872881039454,4480.975492502348,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,65,100,17.5421045,21.284355599999998,34.927845740000215,65.0,0.0,3705.3724141663756,3960.0362039443476,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v3,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,128,100,18.8902295,23.418702399999994,35.07720991000037,65.0,63.0,3477.0206948212526,3649.188098342289,0.4875,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
