classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,results
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,sign_domain,transaction512,512,1,1,1.0,671583.0,671583.0,0.0,0.0,671583.0,671583.0,671583.0,671583.0,671583.0,671583.0,673000.0,1489.0192277052874,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,sign_domain,vote192,192,1,1,1.0,291916.0,291916.0,0.0,0.0,291916.0,291916.0,291916.0,291916.0,291916.0,291916.0,291000.0,3425.642993189822,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_hit,block4096,4096,1,1,1.0,19708.0,19708.0,0.0,0.0,19708.0,19708.0,19708.0,19708.0,19708.0,19708.0,20000.0,50740.81591231987,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_hit,digest32,32,1,1,1.0,12666.0,12666.0,0.0,0.0,12666.0,12666.0,12666.0,12666.0,12666.0,12666.0,12000.0,78951.52376440866,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_hit,large16384,16384,1,1,1.0,37833.0,37833.0,0.0,0.0,37833.0,37833.0,37833.0,37833.0,37833.0,37833.0,38000.0,26431.950942299052,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_hit,medium256,256,1,1,1.0,14334.0,14334.0,0.0,0.0,14334.0,14334.0,14334.0,14334.0,14334.0,14334.0,14000.0,69764.19701409237,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_hit,small64,64,1,1,1.0,13000.0,13000.0,0.0,0.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,76923.07692307692,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_hit,transaction512,512,1,1,1.0,13375.0,13375.0,0.0,0.0,13375.0,13375.0,13375.0,13375.0,13375.0,13375.0,14000.0,74766.35514018692,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_hit,vote192,192,1,1,1.0,13041.0,13041.0,0.0,0.0,13041.0,13041.0,13041.0,13041.0,13041.0,13041.0,14000.0,76681.23610152595,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_miss,block4096,4096,1,1,1.0,212250.0,212250.0,0.0,0.0,212250.0,212250.0,212250.0,212250.0,212250.0,212250.0,216000.0,4711.425206124853,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_miss,digest32,32,1,1,1.0,179208.0,179208.0,0.0,0.0,179208.0,179208.0,179208.0,179208.0,179208.0,179208.0,183000.0,5580.108030891478,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_miss,large16384,16384,1,1,1.0,257417.0,257417.0,0.0,0.0,257417.0,257417.0,257417.0,257417.0,257417.0,257417.0,261000.0,3884.747316610791,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_miss,medium256,256,1,1,1.0,206958.0,206958.0,0.0,0.0,206958.0,206958.0,206958.0,206958.0,206958.0,206958.0,212000.0,4831.898259550247,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_miss,small64,64,1,1,1.0,193458.0,193458.0,0.0,0.0,193458.0,193458.0,193458.0,193458.0,193458.0,193458.0,198000.0,5169.080627319625,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_miss,transaction512,512,1,1,1.0,182500.0,182500.0,0.0,0.0,182500.0,182500.0,182500.0,182500.0,182500.0,182500.0,185000.0,5479.45205479452,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-87,verify_cache_miss,vote192,192,1,1,1.0,180375.0,180375.0,0.0,0.0,180375.0,180375.0,180375.0,180375.0,180375.0,180375.0,184000.0,5544.005544005544,0,retained_all_samples,48218112,0,0,4627,4627,4627,0,0,accepted_cache_miss
MEASURED,negative,aegis_domain_wrapper,FN-DSA-1024,verify_tampered_signature,block4096,4096,1,1,1.0,97333.0,97333.0,0.0,0.0,97333.0,97333.0,97333.0,97333.0,97333.0,97333.0,100000.0,10274.007787697903,0,retained_all_samples,48365568,0,0,1270,1270,1270,0,0,rejected
