classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,total_work_units,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_hit,large16384,16384,1,1,1.0,39791.0,39791.0,0.0,0.0,39791.0,39791.0,39791.0,39791.0,39791.0,39791.0,39791.0,39791.0,41000.0,1,25131.311100500112,0,retained_all_samples,49233920,0,0,1271,1271,1271,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_hit,medium256,256,1,1,1.0,8958.0,8958.0,0.0,0.0,8958.0,8958.0,8958.0,8958.0,8958.0,8958.0,8958.0,8958.0,10000.0,1,111632.06072784103,0,retained_all_samples,49233920,0,0,1268,1268,1268,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_hit,small128,128,1,1,1.0,8666.0,8666.0,0.0,0.0,8666.0,8666.0,8666.0,8666.0,8666.0,8666.0,8666.0,8666.0,10000.0,1,115393.49180706208,0,retained_all_samples,49233920,0,0,1270,1270,1270,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_hit,small64,64,1,1,1.0,8840083.0,8840083.0,0.0,0.0,8840083.0,8840083.0,8840083.0,8840083.0,8840083.0,8840083.0,8840083.0,8840083.0,33000.0,1,113.12110983573345,0,retained_all_samples,49233920,0,0,1268,1268,1268,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_hit,transaction512,512,1,1,1.0,9250.0,9250.0,0.0,0.0,9250.0,9250.0,9250.0,9250.0,9250.0,9250.0,9250.0,9250.0,10000.0,1,108108.1081081081,0,retained_all_samples,49233920,0,0,1266,1266,1266,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_hit,vote192,192,1,1,1.0,9542.0,9542.0,0.0,0.0,9542.0,9542.0,9542.0,9542.0,9542.0,9542.0,9542.0,9542.0,16000.0,1,104799.83232026828,0,retained_all_samples,49233920,0,0,1268,1268,1268,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_miss,block4096,4096,1,1,1.0,119417.0,119417.0,0.0,0.0,119417.0,119417.0,119417.0,119417.0,119417.0,119417.0,119417.0,119417.0,128000.0,1,8374.017099742918,0,retained_all_samples,49233920,0,0,1277,1277,1277,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_miss,digest32,32,1,1,1.0,98375.0,98375.0,0.0,0.0,98375.0,98375.0,98375.0,98375.0,98375.0,98375.0,98375.0,98375.0,105000.0,1,10165.184243964422,0,retained_all_samples,49233920,0,0,1270,1270,1270,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_miss,kilobyte1024,1024,1,1,1.0,119459.0,119459.0,0.0,0.0,119459.0,119459.0,119459.0,119459.0,119459.0,119459.0,119459.0,119459.0,124000.0,1,8371.072920416209,0,retained_all_samples,49233920,0,0,1271,1271,1271,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_miss,large16384,16384,1,1,1.0,359833.0,359833.0,0.0,0.0,359833.0,359833.0,359833.0,359833.0,359833.0,359833.0,359833.0,359833.0,341000.0,1,2779.0669560601723,0,retained_all_samples,49233920,0,0,1274,1274,1274,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_miss,medium256,256,1,1,1.0,113875.0,113875.0,0.0,0.0,113875.0,113875.0,113875.0,113875.0,113875.0,113875.0,113875.0,113875.0,121000.0,1,8781.558726673984,0,retained_all_samples,49233920,0,0,1275,1275,1275,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_miss,small128,128,1,1,1.0,106625.0,106625.0,0.0,0.0,106625.0,106625.0,106625.0,106625.0,106625.0,106625.0,106625.0,106625.0,114000.0,1,9378.663540445486,0,retained_all_samples,49233920,0,0,1272,1272,1272,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_miss,small64,64,1,1,1.0,1328083.0,1328083.0,0.0,0.0,1328083.0,1328083.0,1328083.0,1328083.0,1328083.0,1328083.0,1328083.0,1328083.0,207000.0,1,752.9649878810285,0,retained_all_samples,49233920,0,0,1269,1269,1269,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_miss,transaction512,512,1,1,1.0,111500.0,111500.0,0.0,0.0,111500.0,111500.0,111500.0,111500.0,111500.0,111500.0,111500.0,111500.0,119000.0,1,8968.609865470851,0,retained_all_samples,49233920,0,0,1273,1273,1273,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,verify_cache_miss,vote192,192,1,1,1.0,112000.0,112000.0,0.0,0.0,112000.0,112000.0,112000.0,112000.0,112000.0,112000.0,112000.0,112000.0,114000.0,1,8928.57142857143,0,retained_all_samples,49233920,0,0,1268,1268,1268,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_transaction,ML-DSA-65,sign_domain,block4096,4096,1,1,1.0,338042.0,338042.0,0.0,0.0,338042.0,338042.0,338042.0,338042.0,338042.0,338042.0,338042.0,338042.0,338000.0,1,2958.2122931470053,0,retained_all_samples,48955392,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_transaction,ML-DSA-65,sign_domain,digest32,32,1,1,1.0,426125.0,426125.0,0.0,0.0,426125.0,426125.0,426125.0,426125.0,426125.0,426125.0,426125.0,426125.0,426000.0,1,2346.7292461132297,0,retained_all_samples,48922624,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_transaction,ML-DSA-65,sign_domain,kilobyte1024,1024,1,1,1.0,437875.0,437875.0,0.0,0.0,437875.0,437875.0,437875.0,437875.0,437875.0,437875.0,437875.0,437875.0,438000.0,1,2283.7567799029403,0,retained_all_samples,48955392,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_transaction,ML-DSA-65,sign_domain,large16384,16384,1,1,1.0,859667.0,859667.0,0.0,0.0,859667.0,859667.0,859667.0,859667.0,859667.0,859667.0,859667.0,859667.0,861000.0,1,1163.2411154551705,0,retained_all_samples,48955392,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_transaction,ML-DSA-65,sign_domain,medium256,256,1,1,1.0,819208.0,819208.0,0.0,0.0,819208.0,819208.0,819208.0,819208.0,819208.0,819208.0,819208.0,819208.0,819000.0,1,1220.691204187459,0,retained_all_samples,48939008,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_transaction,ML-DSA-65,sign_domain,small128,128,1,1,1.0,1883042.0,1883042.0,0.0,0.0,1883042.0,1883042.0,1883042.0,1883042.0,1883042.0,1883042.0,1883042.0,1883042.0,1876000.0,1,531.0556004592569,0,retained_all_samples,48939008,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_transaction,ML-DSA-65,sign_domain,small64,64,1,1,1.0,408125.0,408125.0,0.0,0.0,408125.0,408125.0,408125.0,408125.0,408125.0,408125.0,408125.0,408125.0,411000.0,1,2450.229709035222,0,retained_all_samples,48939008,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
