classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,total_work_units,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_lifecycle_role,transaction512,512,1,1,1.0,166.0,166.0,0.0,0.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,1,6024096.385542168,0,retained_all_samples,10027008,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_wrong_lifecycle_role,vote192,192,1,1,1.0,167.0,167.0,0.0,0.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,1000.0,1,5988023.952095808,0,retained_all_samples,9863168,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope_component,JSON,reject_malformed_json,block4096,4096,1,1,1.0,107417.0,107417.0,0.0,0.0,107417.0,107417.0,107417.0,107417.0,107417.0,107417.0,107417.0,107417.0,108000.0,1,9309.513391735014,0,retained_all_samples,10420224,,,,,,,,,34125,,1,rejected
MEASURED,negative,aegis_submission_envelope_component,JSON,reject_malformed_json,digest32,32,1,1,1.0,83500.0,83500.0,0.0,0.0,83500.0,83500.0,83500.0,83500.0,83500.0,83500.0,83500.0,83500.0,84000.0,1,11976.047904191617,0,retained_all_samples,9666560,,,,,,,,,19682,,1,rejected
MEASURED,negative,aegis_submission_envelope_component,JSON,reject_malformed_json,kilobyte1024,1024,1,1,1.0,76125.0,76125.0,0.0,0.0,76125.0,76125.0,76125.0,76125.0,76125.0,76125.0,76125.0,76125.0,76000.0,1,13136.288998357964,0,retained_all_samples,10190848,,,,,,,,,23334,,1,rejected
MEASURED,negative,aegis_submission_envelope_component,JSON,reject_malformed_json,large16384,16384,1,1,1.0,244459.0,244459.0,0.0,0.0,244459.0,244459.0,244459.0,244459.0,244459.0,244459.0,244459.0,244459.0,245000.0,1,4090.665510371882,0,retained_all_samples,11206656,,,,,,,,,78129,,1,rejected
MEASURED,negative,aegis_submission_envelope_component,JSON,reject_malformed_json,medium256,256,1,1,1.0,75166.0,75166.0,0.0,0.0,75166.0,75166.0,75166.0,75166.0,75166.0,75166.0,75166.0,75166.0,75000.0,1,13303.887395897082,0,retained_all_samples,9961472,,,,,,,,,20497,,1,rejected
MEASURED,negative,aegis_submission_envelope_component,JSON,reject_malformed_json,small128,128,1,1,1.0,86542.0,86542.0,0.0,0.0,86542.0,86542.0,86542.0,86542.0,86542.0,86542.0,86542.0,86542.0,86000.0,1,11555.083081047353,0,retained_all_samples,9797632,,,,,,,,,20015,,1,rejected
MEASURED,negative,aegis_submission_envelope_component,JSON,reject_malformed_json,small64,64,1,1,1.0,82625.0,82625.0,0.0,0.0,82625.0,82625.0,82625.0,82625.0,82625.0,82625.0,82625.0,82625.0,82000.0,1,12102.874432677761,0,retained_all_samples,9715712,,,,,,,,,19842,,1,rejected
MEASURED,negative,aegis_submission_envelope_component,JSON,reject_malformed_json,transaction512,512,1,1,1.0,73834.0,73834.0,0.0,0.0,73834.0,73834.0,73834.0,73834.0,73834.0,73834.0,73834.0,73834.0,75000.0,1,13543.895766178184,0,retained_all_samples,10043392,,,,,,,,,21414,,1,rejected
MEASURED,negative,aegis_submission_envelope_component,JSON,reject_malformed_json,vote192,192,1,1,1.0,76625.0,76625.0,0.0,0.0,76625.0,76625.0,76625.0,76625.0,76625.0,76625.0,76625.0,76625.0,77000.0,1,13050.570962479609,0,retained_all_samples,9863168,,,,,,,,,20312,,1,rejected
MEASURED,negative,public_rpc_transaction,ML-DSA-87,reject_malformed_public_key,block4096,4096,1,1,1.0,8000.0,8000.0,0.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,1,125000.0,0,retained_all_samples,7847936,2591,,4627,4627,4627,,,,,,1,rejected
MEASURED,negative,public_rpc_transaction,ML-DSA-87,reject_malformed_public_key,digest32,32,1,1,1.0,10458.0,10458.0,0.0,0.0,10458.0,10458.0,10458.0,10458.0,10458.0,10458.0,10458.0,10458.0,10000.0,1,95620.57754828839,0,retained_all_samples,7454720,2591,,4627,4627,4627,,,,,,1,rejected
MEASURED,negative,public_rpc_transaction,ML-DSA-87,reject_malformed_public_key,kilobyte1024,1024,1,1,1.0,8833.0,8833.0,0.0,0.0,8833.0,8833.0,8833.0,8833.0,8833.0,8833.0,8833.0,8833.0,10000.0,1,113211.81931393637,0,retained_all_samples,7815168,2591,,4627,4627,4627,,,,,,1,rejected
