run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,notes
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-87,verify_tampered_signature,large16384,16384,0,0,260208,260000,7028736,true,rejected,2592,0,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,FN-DSA-1024,keygen,none,0,0,1,21094250,20798000,7192576,true,keypair_generated,1793,2305,0,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,FN-DSA-1024,sign,digest32,32,0,1,6819917,6664000,7225344,true,signature_generated,1793,2305,1267,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,FN-DSA-1024,verify_valid,digest32,32,0,1,129958,109000,7258112,true,accepted,1793,2305,1272,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,FN-DSA-1024,verify_tampered_signature,digest32,32,0,0,68625,68000,7258112,true,rejected,1793,0,1272,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,FN-DSA-1024,sign,small64,64,0,1,6814375,6688000,7290880,true,signature_generated,1793,2305,1274,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,FN-DSA-1024,verify_valid,small64,64,0,1,61209,62000,7307264,true,accepted,1793,2305,1273,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,FN-DSA-1024,verify_tampered_signature,small64,64,0,0,57042,57000,7307264,true,rejected,1793,0,1273,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,FN-DSA-1024,sign,vote192,192,0,1,6710417,6637000,7307264,true,signature_generated,1793,2305,1272,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,FN-DSA-1024,verify_valid,vote192,192,0,1,68875,72000,7307264,true,accepted,1793,2305,1269,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,FN-DSA-1024,verify_tampered_signature,vote192,192,0,0,64708,65000,7307264,true,rejected,1793,0,1269,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,FN-DSA-1024,sign,medium256,256,0,1,6198875,6189000,7323648,true,signature_generated,1793,2305,1274,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
